"Index","Leverage","Cooks_D","DFFITS","Std_Residual","High_Leverage","High_Cooks","High_DFFITS"
2796,0.00534470163030487,0.011477089383708,0.214474229462722,2.92294366446096,TRUE,TRUE,TRUE
2797,0.0039972695724577,0.00683911362126265,0.165523930702873,2.61082913682669,TRUE,TRUE,TRUE
2798,0.0043347802887984,0.00636998561477884,0.159725861353666,2.41920318109781,TRUE,TRUE,TRUE
1840,0.00513934612848349,0.00527612276211361,-0.145332551656689,-2.02122487895414,TRUE,TRUE,TRUE
2777,0.00163465367704827,0.00516666908912822,-0.143978281997873,-3.55277079694656,FALSE,TRUE,TRUE
1839,0.00307990476059558,0.00503331306900097,-0.141994263074206,-2.55281004046722,TRUE,TRUE,TRUE
2799,0.00349818369723498,0.0045749784136785,0.135351831738216,2.28319109466356,TRUE,TRUE,TRUE
2275,0.00181433094260443,0.0044713398195758,-0.133891165350143,-3.13686801414766,FALSE,TRUE,TRUE
2778,0.00152054921832772,0.00446566241132405,-0.133839320346032,-3.4248555939938,FALSE,TRUE,TRUE
1841,0.00586913985082894,0.00446353524576734,-0.133654804418957,-1.73901780524064,TRUE,TRUE,TRUE
2274,0.00179009994966648,0.00421093613016415,-0.129926254951092,-3.06472576195271,FALSE,TRUE,TRUE
1838,0.0030277380470528,0.00414116314901039,-0.128778844348241,-2.33546602912977,TRUE,TRUE,TRUE
2776,0.00142957508642514,0.00409586424722154,-0.128173213310937,-3.38289592408381,FALSE,TRUE,TRUE
2773,0.00162032967498326,0.00399687078528181,-0.12658835518567,-3.13860181365739,FALSE,TRUE,TRUE
2775,0.00159784209687899,0.00397330939801478,-0.126216011412129,-3.15131643147408,FALSE,TRUE,TRUE
2774,0.00156683716602114,0.0036984029623101,-0.121763371621833,-3.0703273149724,FALSE,TRUE,TRUE
2273,0.00182940526004143,0.00364095868432756,-0.120790588618934,-2.81893651466286,FALSE,TRUE,TRUE
2272,0.00167073430130401,0.00338930527610423,-0.116543852098215,-2.84622052540374,FALSE,TRUE,TRUE
2270,0.00133503051760357,0.00334280220379744,-0.11577043707905,-3.16263918111489,FALSE,TRUE,TRUE
3473,0.00206200381571353,0.00327888475090353,-0.114603336141647,-2.51941736641007,FALSE,TRUE,TRUE
2269,0.00131559541670058,0.00327612431985398,-0.114609182378913,-3.15401054209355,FALSE,TRUE,TRUE
2781,0.00274239690195429,0.00327394335555235,-0.114493160412835,-2.18224797646282,TRUE,TRUE,TRUE
1558,0.00236924162343293,0.00323757175173059,0.113865714987053,2.33517770237591,TRUE,TRUE,TRUE
3472,0.00189303112355266,0.00319381778503796,-0.113112697360369,-2.5953428068987,FALSE,TRUE,TRUE
2271,0.00163614592333253,0.0031527218522528,-0.112396745969663,-2.77399856013397,FALSE,TRUE,TRUE
3474,0.00234650281044828,0.00311423616752336,-0.111673499538297,-2.30136282264979,TRUE,TRUE,TRUE
3697,0.00292574089013689,0.00310669509851049,0.111522701455799,2.05790410411123,TRUE,TRUE,TRUE
2795,0.0021712257152989,0.00306390634215076,0.110772312217133,2.37324876317886,TRUE,TRUE,TRUE
3471,0.00171554341948009,0.00306173842092166,-0.110754806124414,-2.66956398803946,FALSE,TRUE,TRUE
3702,0.00267523509318585,0.00303922492185469,0.110309340949864,2.12886803863412,TRUE,TRUE,TRUE
2267,0.00132203111758993,0.00301421540695581,-0.1099204556832,-3.01792911055488,FALSE,TRUE,TRUE
2268,0.00131483754475727,0.00292177427492939,-0.108218510372728,-2.97941895612171,FALSE,TRUE,TRUE
1588,0.000520864007262809,0.00287696896224607,-0.107572019916782,-4.69918211627982,FALSE,TRUE,TRUE
1842,0.00449467309955923,0.00284824840326189,-0.106759256534653,-1.58851626411108,TRUE,TRUE,TRUE
1561,0.00209059364252813,0.00284292651673911,0.106700062271628,2.32982637964424,FALSE,TRUE,TRUE
2266,0.00132176438940163,0.00278565551430981,-0.105661273343513,-2.90154606065387,FALSE,TRUE,TRUE
3432,0.000621781644719879,0.0027824317508062,-0.105731505047317,-4.22949238225698,FALSE,TRUE,TRUE
3470,0.00143542096213945,0.00271359630254787,-0.104273829353894,-2.74790080542874,FALSE,TRUE,TRUE
3275,0.00131862499496952,0.00270693737121145,-0.104154682844378,-2.86366309752683,FALSE,TRUE,TRUE
2265,0.00136383669387538,0.00270088594608121,-0.104034242090585,-2.81258448807108,FALSE,TRUE,TRUE
2780,0.00199501947765489,0.00269423831852913,-0.103871823963237,-2.32188541867553,FALSE,TRUE,TRUE
2891,0.0034096306806425,0.00265754534012544,-0.103131217715093,-1.76268622205416,TRUE,TRUE,TRUE
1960,0.00122555488689779,0.0026302268385197,-0.102673312377189,-2.92815408266519,FALSE,TRUE,TRUE
1584,0.000691726081621055,0.0026184788460076,-0.102531971381246,-3.88988889151143,FALSE,TRUE,TRUE
1953,0.000864686404310463,0.00261829379947989,-0.10248756470215,-3.47874042155142,FALSE,TRUE,TRUE
2264,0.00154678443548535,0.00258204867361945,-0.101703191094122,-2.58202933091569,FALSE,TRUE,TRUE
1560,0.00213157513610375,0.00257869062114006,0.101612554147582,2.19743447346733,TRUE,TRUE,TRUE
1587,0.000496396865550006,0.00257420686871475,-0.101736392800765,-4.55333270637396,FALSE,TRUE,TRUE
1559,0.00272244595492396,0.00255823484705169,0.101194403542612,1.93610358680343,TRUE,TRUE,TRUE
3272,0.00140813635124489,0.00255492397369033,-0.101175278514172,-2.69209662131117,FALSE,TRUE,TRUE
