"variable","n","mean","median","sd","min","max","q25","q75"
"cement_co2_per_capita",12306,0.0980109702584105,0.042,0.146879594912939,0,1.49,0.001,0.139
"coal_co2_per_capita",11731,1.49528684681613,0.298,2.70668212623137,0,34.295,0.02,1.8905
"energy_per_capita",7774,24999.0101597633,11461.922,34300.0671666334,0,318559.688,2473.4445,34815.8575
"flaring_co2_per_capita",7131,0.479427709998598,0.004,4.00133736019021,0,114.509,0,0.078
"gas_co2_per_capita",9279,1.1579723030499,0.071,3.52472547853877,0,53.476,0,0.978
"gdp_per_capita",14904,8743.74871713903,4256.40032234334,11946.2510002007,361.188724519597,163531.400281066,1880.28106823367,10108.9323648432
"land_use_change_co2_per_capita",14715,3.67843873598369,1.072,7.13132698679568,-9.652,81.469,0.083,4.131
"methane_per_capita",14829,2.56857825881718,1.263,5.69534711494154,0.195,120.192,0.831,2.167
"nitrous_oxide_per_capita",14829,0.615854069728235,0.327,0.93737318574751,0.019,15.62,0.187,0.616
"oil_co2_per_capita",13836,1.55319348077479,0.53,3.77621885226082,0,343.738,0.09,2.05725
